clade	ancestry1	ancestry2	ancestry3	ancestry4	ancestry5
**Basenji	0.47	0.53	0.00	0.00	0.00
**Eurasier	0.09	0.58	0.08	0.16	0.08
**Finish Spitz	0.43	0.23	0.04	0.12	0.17
**Samoyed	0.31	0.30	0.19	0.15	0.05
**Tibetan Terrier	0.51	0.20	0.04	0.17	0.09
Alpine	0.40	0.06	0.38	0.10	0.06
American Terrier	0.33	0.10	0.21	0.20	0.15
American Toy	0.47	0.13	0.16	0.13	0.11
Asian Spitz	0.08	0.67	0.07	0.14	0.04
Asian Toy	0.50	0.32	0.06	0.07	0.05
Continental Herder	0.41	0.05	0.24	0.15	0.15
Drover	0.46	0.05	0.31	0.14	0.05
European Mastiff	0.13	0.03	0.34	0.47	0.03
Golden Jackal	0.05	0.56	0.36	0.00	0.04
Hungarian	0.48	0.14	0.14	0.13	0.11
Mediterranean	0.45	0.18	0.22	0.10	0.04
New World	0.39	0.09	0.30	0.12	0.10
Nordic Spitz	0.43	0.14	0.16	0.11	0.17
Pinscher	0.42	0.09	0.08	0.26	0.16
Pointer Setter	0.59	0.04	0.18	0.14	0.05
Poodle	0.61	0.08	0.10	0.09	0.11
Retriever	0.45	0.03	0.28	0.18	0.05
Scent Hound	0.61	0.03	0.18	0.12	0.05
Schnauzer	0.42	0.09	0.12	0.11	0.27
Small Spitz	0.45	0.11	0.19	0.10	0.14
Spaniel	0.67	0.04	0.05	0.20	0.04
Terrier	0.28	0.06	0.17	0.28	0.21
Toy Spitz	0.47	0.09	0.18	0.07	0.19
UK Rural	0.22	0.06	0.48	0.13	0.11
Wolf	0.18	0.53	0.18	0.10	0.01
